guids,valid_till,OBJECTTYPE_1
{601972C8-EBC7-44A2-B6B9-9912C8244743},2025-08-15,Verhardingsobject
{601972C8-EBC7-44A2-B6B9-9912C8244743},2025-08-15,Verhardingsobject
{84307B15-618A-4A13-9331-0D7721F670A2},2025-08-15,Verhardingsobject
{84307B15-618A-4A13-9331-0D7721F670A2},2025-08-15,Verhardingsobject
{CD434FF8-F685-478F-BC0E-CD3B51DC1A77},2025-08-15,Verhardingsobject
